# step	m	energy
0	0.06500000	0.07000000
1	0.06000000	0.07000000
2	0.06000000	0.07000000
3	0.05500000	0.07000000
4	0.05000000	0.07000000
5	0.05000000	0.07000000
6	0.04500000	0.08000000
7	0.05000000	0.10000000
8	0.05000000	0.10000000
9	0.05000000	0.10000000
10	0.05500000	0.10000000
11	0.05500000	0.10000000
12	0.05500000	0.10000000
13	0.05500000	0.10000000
14	0.05500000	0.10000000
15	0.05000000	0.10000000
16	0.05000000	0.10000000
17	0.04500000	0.10000000
18	0.05000000	0.10000000
19	0.05000000	0.10000000
20	0.05000000	0.10000000
21	0.05000000	0.10000000
22	0.05000000	0.10000000
23	0.05000000	0.10000000
24	0.05000000	0.10000000
25	0.05000000	0.10000000
26	0.05000000	0.10000000
27	0.05000000	0.10000000
28	0.05500000	0.10000000
29	0.05500000	0.10000000
30	0.05000000	0.11000000
31	0.05000000	0.11000000
32	0.05000000	0.11000000
33	0.05000000	0.11000000
34	0.05000000	0.11000000
35	0.05000000	0.11000000
36	0.05000000	0.11000000
37	0.04500000	0.11000000
38	0.04500000	0.11000000
39	0.04500000	0.11000000
40	0.04500000	0.11000000
41	0.04500000	0.11000000
42	0.04500000	0.11000000
43	0.04000000	0.11000000
44	0.04000000	0.11000000
45	0.04000000	0.11000000
46	0.03500000	0.11000000
47	0.03000000	0.11000000
48	0.03000000	0.11000000
49	0.02500000	0.11000000
50	0.02500000	0.11000000
51	0.02500000	0.11000000
52	0.02000000	0.12000000
53	0.02000000	0.12000000
54	0.01500000	0.14000000
55	0.01500000	0.14000000
56	0.01000000	0.14000000
57	0.01000000	0.14000000
58	0.01000000	0.14000000
59	0.01000000	0.14000000
60	0.00500000	0.14000000
61	0.00500000	0.14000000
62	0.01000000	0.14000000
63	0.00500000	0.15000000
64	0.00000000	0.16000000
65	0.00000000	0.16000000
66	0.00500000	0.15000000
67	0.00000000	0.15000000
68	0.00000000	0.15000000
69	0.00500000	0.16000000
70	0.01000000	0.17000000
71	0.01000000	0.17000000
72	0.01000000	0.17000000
73	0.00500000	0.18000000
74	0.00500000	0.18000000
75	0.00500000	0.18000000
76	0.00500000	0.18000000
77	0.00000000	0.18000000
78	0.00000000	0.18000000
79	0.00000000	0.18000000
80	0.00000000	0.18000000
81	0.00000000	0.18000000
82	0.00000000	0.18000000
83	0.00000000	0.18000000
84	-0.00500000	0.18000000
85	-0.00500000	0.18000000
86	-0.00500000	0.18000000
87	-0.00500000	0.18000000
88	-0.00500000	0.18000000
89	-0.00500000	0.18000000
90	-0.00500000	0.18000000
91	-0.00500000	0.18000000
92	-0.00500000	0.18000000
93	-0.00500000	0.18000000
94	-0.00500000	0.18000000
95	-0.00500000	0.18000000
96	-0.00500000	0.18000000
97	-0.00500000	0.18000000
98	-0.00500000	0.18000000
99	-0.00500000	0.18000000
100	-0.00500000	0.18000000
101	-0.00500000	0.18000000
102	-0.01000000	0.19000000
103	-0.01500000	0.20000000
104	-0.02000000	0.19000000
105	-0.02500000	0.19000000
106	-0.02500000	0.19000000
107	-0.02500000	0.19000000
108	-0.02500000	0.19000000
109	-0.02500000	0.19000000
110	-0.03000000	0.19000000
111	-0.03500000	0.19000000
112	-0.03500000	0.19000000
113	-0.03000000	0.20000000
114	-0.03000000	0.20000000
115	-0.03000000	0.20000000
116	-0.03000000	0.20000000
117	-0.03000000	0.20000000
118	-0.03000000	0.20000000
119	-0.02500000	0.22000000
120	-0.02500000	0.22000000
121	-0.02500000	0.22000000
122	-0.02500000	0.22000000
123	-0.03000000	0.21000000
124	-0.03000000	0.21000000
125	-0.03000000	0.21000000
126	-0.03500000	0.22000000
127	-0.03500000	0.22000000
128	-0.03500000	0.22000000
129	-0.04000000	0.22000000
130	-0.03500000	0.23000000
131	-0.03500000	0.23000000
132	-0.04000000	0.23000000
133	-0.03500000	0.23000000
134	-0.03500000	0.23000000
135	-0.03500000	0.23000000
136	-0.03500000	0.23000000
137	-0.03500000	0.23000000
138	-0.03500000	0.23000000
139	-0.03500000	0.23000000
140	-0.03500000	0.23000000
141	-0.03500000	0.23000000
142	-0.03500000	0.23000000
143	-0.03500000	0.23000000
144	-0.03500000	0.23000000
145	-0.03500000	0.23000000
146	-0.03500000	0.23000000
147	-0.03500000	0.23000000
148	-0.04000000	0.23000000
149	-0.04000000	0.23000000
150	-0.04500000	0.24000000
151	-0.04500000	0.24000000
152	-0.04500000	0.24000000
153	-0.04500000	0.24000000
154	-0.04500000	0.24000000
155	-0.04500000	0.24000000
156	-0.04500000	0.24000000
157	-0.05000000	0.24000000
158	-0.05000000	0.24000000
159	-0.05000000	0.24000000
160	-0.05000000	0.24000000
161	-0.05000000	0.24000000
162	-0.05000000	0.24000000
163	-0.05000000	0.24000000
164	-0.05000000	0.24000000
165	-0.05000000	0.24000000
166	-0.05000000	0.24000000
167	-0.05500000	0.24000000
168	-0.05500000	0.24000000
169	-0.05500000	0.24000000
170	-0.05500000	0.24000000
171	-0.05000000	0.23000000
172	-0.05000000	0.23000000
173	-0.05000000	0.23000000
174	-0.05000000	0.23000000
175	-0.05000000	0.23000000
176	-0.05000000	0.23000000
177	-0.05000000	0.23000000
